jp,fr,source
泡狐竜の剛爪,Serre Mizutsune,capcom-official:mhrise-sunbreak
泡狐竜の厚鱗,Éclat Mizutsune,capcom-official:mhrise-sunbreak
泡狐竜の天鱗,Mante Mizutsune,capcom-official:mhrise-sunbreak
泡狐竜の尖爪,Griffe Mizu.+,capcom-official:mhrise-sunbreak
泡狐竜の尻尾,Queue Mizu.,capcom-official:mhrise-sunbreak
泡狐竜の水玉,Orbe eau Mizu.,capcom-official:mhrise-sunbreak
泡狐竜の爪,Griffe Mizutsune,capcom-official:mhrise-sunbreak
泡狐竜の特錦ヒレ,Nageoire douce Mizu,capcom-official:mhrise-sunbreak
泡狐竜の紫上毛,Fourr. m. Mizu.+,capcom-official:mhrise-sunbreak
泡狐竜の紫剛毛,Toison mauve Mizu,capcom-official:mhrise-sunbreak
泡狐竜の紫毛,Fourr. m. Mizu.,capcom-official:mhrise-sunbreak
泡狐竜の紫靭尾,Queue mauve Mizu,capcom-official:mhrise-sunbreak
泡狐竜の逆鱗,Plaque Mizutsune,capcom-official:mhrise-sunbreak
泡狐竜の錦ヒレ,Nageoire Mizu.,capcom-official:mhrise-sunbreak
泡狐竜の鱗,Écaille Mizu.,capcom-official:mhrise-sunbreak
泡立つ上滑液,Mousse à bulles+,capcom-official:mhrise-sunbreak
泡立つ滑液,Mousse à bulles,capcom-official:mhrise-sunbreak
泡立つ濃滑液,Mousse à b. distillée,capcom-official:mhrise-sunbreak
泥翁竜の上鱗,Éc. Almudron+,capcom-official:mhrise-sunbreak
泥翁竜の仙人髭,Moustache asc. Almu.,capcom-official:mhrise-sunbreak
泥翁竜の剛毛ヒレ,Nageoire Almu.+,capcom-official:mhrise-sunbreak
泥翁竜の剛爪,Serre Almudron,capcom-official:mhrise-sunbreak
泥翁竜の厚鱗,Éclat Almudron,capcom-official:mhrise-sunbreak
泥翁竜の堅殻,Carap. Almudron+,capcom-official:mhrise-sunbreak
泥翁竜の天鱗,Mante Almudron,capcom-official:mhrise-sunbreak
泥翁竜の尖爪,Griffe Almudron+,capcom-official:mhrise-sunbreak
泥翁竜の尻尾,Queue Almudron,capcom-official:mhrise-sunbreak
泥翁竜の毛ヒレ,Nageoire Almu.,capcom-official:mhrise-sunbreak
泥翁竜の爪,Griffe Almudron,capcom-official:mhrise-sunbreak
泥翁竜の甲殻,Carap. Almudron,capcom-official:mhrise-sunbreak
泥翁竜の豪毛ヒレ,Gde nageoire Almu.,capcom-official:mhrise-sunbreak
泥翁竜の逆鱗,Plaque Almudron,capcom-official:mhrise-sunbreak
泥翁竜の重殻,Cortex Almudron,capcom-official:mhrise-sunbreak
泥翁竜の長髭,Moustache Almu.+,capcom-official:mhrise-sunbreak
泥翁竜の鞭尾,Fouet Almudron,capcom-official:mhrise-sunbreak
泥翁竜の髭,Moustache Almu.,capcom-official:mhrise-sunbreak
泥翁竜の鱗,Écaille Almudron,capcom-official:mhrise-sunbreak
泥翁竜の黄玉,Orbe Almu. doré,capcom-official:mhrise-sunbreak
泥魚竜の上ヒレ,Nageoire Jyura+,capcom-official:mhrise-sunbreak
泥魚竜の上鱗,Écaille Jyura.+,capcom-official:mhrise-sunbreak
泥魚竜の厚鱗,Éclat Jyuratodus,capcom-official:mhrise-sunbreak
泥魚竜の堅殻,Cuirasse Jyura.,capcom-official:mhrise-sunbreak
泥魚竜の特上ヒレ,Nag. fine Jyuratodus,capcom-official:mhrise-sunbreak
泥魚竜の重殻,Cortex Jyuratodus,capcom-official:mhrise-sunbreak
泥魚竜の重牙,Croc lourd Jyuratodus,capcom-official:mhrise-sunbreak
泥魚竜の鋭牙,Croc Jyuratodus+,capcom-official:mhrise-sunbreak
活力剤,Immunisateur,capcom-official:mhrise-sunbreak
流水草,Ondulite,capcom-official:mhrise-sunbreak
海綿質の上皮,Peau-éponge+,capcom-official:mhrise-sunbreak
海綿質の厚皮,Cuir-éponge,capcom-official:mhrise-sunbreak
海綿質の皮,Peau-éponge,capcom-official:mhrise-sunbreak
消尽の噛生虫,Parasite consom.,capcom-official:mhrise-sunbreak
消散剤,Nettoyant,capcom-official:mhrise-sunbreak
消臭玉,Déodorant,capcom-official:mhrise-sunbreak
淵源の剛嵐角,Corne origine+,capcom-official:mhrise-sunbreak
淵源の厚嵐鱗,Écaille origine+,capcom-official:mhrise-sunbreak
淵源の天鱗,Mante origine,capcom-official:mhrise-sunbreak
淵源の嵐玉,Orbe d'origine,capcom-official:mhrise-sunbreak
淵源の嵐角,Corne d'origine,capcom-official:mhrise-sunbreak
淵源の嵐鱗,Écaille origine,capcom-official:mhrise-sunbreak
減気ビン,F. de faiblesse,capcom-official:mhrise-sunbreak
渾沌の竜鱗,Écaille du chaos,capcom-official:mhrise-sunbreak
溜め貫通弾,Perforant C.,capcom-official:mhrise-sunbreak
溜め電撃弾,Foudre C.,capcom-official:mhrise-sunbreak
溶岩獣の上鱗,Écaille Uroktor+,capcom-official:mhrise-sunbreak
溶岩獣の厚鱗,Éclat Uroktor,capcom-official:mhrise-sunbreak
溶岩獣の鱗,Écaille Uroktor,capcom-official:mhrise-sunbreak
溶翁竜の剛爪,Serre Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の剛靭髭,Moust. dure Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の厚鱗,Éclat Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の天鱗,Mante Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の豪毛ヒレ,Gde nageoire Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の重殻,Cortex Magmadron,capcom-official:mhrise-sunbreak
溶翁竜の鞭尾,Queue Magmadron,capcom-official:mhrise-sunbreak
滅龍弾,Dragon,capcom-official:mhrise-sunbreak
漆黒の水晶,Cristal louche,capcom-official:mhrise-sunbreak
漢方の粉塵,Poudre végétale,capcom-official:mhrise-sunbreak
漢方薬,Remède d'herbe,capcom-official:mhrise-sunbreak
潜水チケット,Ticket plongée,capcom-official:mhrise-sunbreak
潤った彩水晶,Prisme coloré,capcom-official:mhrise-sunbreak
激昂コイン,Pièce Rajang orage,capcom-official:mhrise-sunbreak
激闘王のコイン,Pièce affligée,capcom-official:mhrise-sunbreak
濃厚マカ油,Miel de fusion,capcom-official:mhrise-sunbreak
濃縮麻痺袋,Poche d'ultraplégie,capcom-official:mhrise-sunbreak
瀑布の彩水晶,Prisme cascade,capcom-official:mhrise-sunbreak
火炎タル爆弾,Bombe baril Feu,capcom-official:mhrise-sunbreak
火炎弾,Incendiaire,capcom-official:mhrise-sunbreak
火炎弾　セット,Tir enflammé,capcom-official:mhrise-sunbreak
火炎熱線　セット,Rayon enflammé,capcom-official:mhrise-sunbreak
火炎袋,Poche de flamme,capcom-official:mhrise-sunbreak
火玉ホオズキ,Baietincelle,capcom-official:mhrise-sunbreak
火竜の上鱗,Éc. Rathalos+,capcom-official:mhrise-sunbreak
火竜の剛翼,Égide Rathalos,capcom-official:mhrise-sunbreak
火竜の剛翼爪,Serre acér. Rath,capcom-official:mhrise-sunbreak
火竜の厚鱗,Éclat Rathalos,capcom-official:mhrise-sunbreak
火竜の堅殻,Cuirasse Ratha.,capcom-official:mhrise-sunbreak
火竜の天鱗,Mante Rathalos,capcom-official:mhrise-sunbreak
火竜の尻尾,Queue Rathalos,capcom-official:mhrise-sunbreak
火竜の延髄,Medulla Rath,capcom-official:mhrise-sunbreak
火竜の煌液,Lueur Rath,capcom-official:mhrise-sunbreak
火竜の甲殻,Carap. Rathalos,capcom-official:mhrise-sunbreak
火竜の紅玉,Rubis Rathalos,capcom-official:mhrise-sunbreak
火竜の翼,Aile Rathalos,capcom-official:mhrise-sunbreak
火竜の翼爪,Serre Rath,capcom-official:mhrise-sunbreak
火竜の翼膜,Palmure Rathalos,capcom-official:mhrise-sunbreak
火竜の逆鱗,Plaque Rathalos,capcom-official:mhrise-sunbreak
火竜の重殻,Cortex Rathalos,capcom-official:mhrise-sunbreak
火竜の鋭翼爪,Serre Rath+,capcom-official:mhrise-sunbreak
火竜の靭尾,Fouet Rathalos,capcom-official:mhrise-sunbreak
火竜の骨髄,Moelle Rath,capcom-official:mhrise-sunbreak
火竜の鱗,Écaille Rathalos,capcom-official:mhrise-sunbreak
火薬草,Herbe de feu,capcom-official:mhrise-sunbreak
灰色の種,Graine grise,capcom-official:mhrise-sunbreak
灼熱イチゴ,Baie du désert,capcom-official:mhrise-sunbreak
炎熱の溶岩泥土,Boue de lave infernale,capcom-official:mhrise-sunbreak
炎王龍のたてがみ,Crinière Teostra,capcom-official:mhrise-sunbreak
炎王龍の剛角,Vouge Teostra,capcom-official:mhrise-sunbreak
炎王龍の堅殻,Cuirasse Teostra,capcom-official:mhrise-sunbreak
炎王龍の尖角,Corne Teostra+,capcom-official:mhrise-sunbreak
炎王龍の尻尾,Queue Teostra,capcom-official:mhrise-sunbreak
炎王龍の破傀玉,Gemme Teostra rév,capcom-official:mhrise-sunbreak
炎王龍の重殻,Cortex Teostra,capcom-official:mhrise-sunbreak
炎王龍の靭尾,Fouet Teostra,capcom-official:mhrise-sunbreak
炎龍の剛爪,Serre Teostra,capcom-official:mhrise-sunbreak
炎龍の剛翼,Égide Teostra,capcom-official:mhrise-sunbreak
炎龍の塵粉,Poudre Teostra,capcom-official:mhrise-sunbreak
炎龍の宝玉,Joyau Teostra,capcom-official:mhrise-sunbreak
炎龍の尖爪,Griffe Teostra+,capcom-official:mhrise-sunbreak
炎龍の翼,Palmure Teostra,capcom-official:mhrise-sunbreak
烈火イチゴ,Baie de feu,capcom-official:mhrise-sunbreak
焔狐竜の剛爪,Serre Mizu mauve,capcom-official:mhrise-sunbreak
焔狐竜の厚鱗,Éclat Mizu mauve,capcom-official:mhrise-sunbreak
焔狐竜の天鱗,Mante Mizu mauve,capcom-official:mhrise-sunbreak
焔狐竜の特錦ヒレ,Nageoire Mizu mauve,capcom-official:mhrise-sunbreak
焔狐竜の白剛毛,Fourr. Mizu mauve,capcom-official:mhrise-sunbreak
焔狐竜の白靭尾,Queue Mizu mauve,capcom-official:mhrise-sunbreak
焦熱イチゴ,Baie de lave,capcom-official:mhrise-sunbreak
煉獄滾る赫耀液,Liq. pourp. bouillant,capcom-official:mhrise-sunbreak
煌めきチケット,Ticket Hiver,capcom-official:mhrise-sunbreak
煮えたぎる赫耀液,Liquide pourpre,capcom-official:mhrise-sunbreak
熟成キノコ,Champi. unique,capcom-official:mhrise-sunbreak
熱帯イチゴ,Baie tropicale,capcom-official:mhrise-sunbreak
熾妃蜘蛛の剛爪,Serre Kadaki de feu,capcom-official:mhrise-sunbreak
熾妃蜘蛛の眩灯腹,Ventre Kadaki de feu,capcom-official:mhrise-sunbreak
熾妃蜘蛛の艶絹糸,Soie Kadaki de feu+,capcom-official:mhrise-sunbreak
熾妃蜘蛛の重殻,Cortex Kadaki de feu,capcom-official:mhrise-sunbreak
熾妃蜘蛛の重鉤棘,Pointe Kadaki de feu+,capcom-official:mhrise-sunbreak
燃石炭,Charbon,capcom-official:mhrise-sunbreak
爆炎袋,Poche infernale,capcom-official:mhrise-sunbreak
爆破ビン,Fiole explosive,capcom-official:mhrise-sunbreak
爆破投げクナイ,Kunai explosif,capcom-official:mhrise-sunbreak
爆薬,Poudre à canon,capcom-official:mhrise-sunbreak
爆鱗竜の上鱗,Écaille Bazel.+,capcom-official:mhrise-sunbreak
爆鱗竜の剛爪,Griffe Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の剛翼,Égide Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の厚鱗,Éclat Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の堅殻,Cuirasse Bazel.,capcom-official:mhrise-sunbreak
爆鱗竜の天鱗,Mante Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の宝玉,Gemme Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の尖爪,Serre Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の尻尾,Queue Bazel,capcom-official:mhrise-sunbreak
爆鱗竜の爆腺,Mèche Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の爆腺束,Glande Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の翼,Aile Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の重尾,Fléau Bazelgeuse,capcom-official:mhrise-sunbreak
爆鱗竜の重殻,Cortex Bazelgeuse,capcom-official:mhrise-sunbreak
爵銀龍の三又尾,Queue Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の剛翼,Égide Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の剛角,Vouge Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の厚鱗,Éclat Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の無垢殻,Cuirasse Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の紅血玉,Sanguine Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の重殻,Cortex Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の重牙,Croc lourd Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の銀角,Corne Malzeno,capcom-official:mhrise-sunbreak
爵銀龍の麗牙,Beaucroc Malzeno,capcom-official:mhrise-sunbreak
牙獣のナミダ,Larme de bête,capcom-official:mhrise-sunbreak
牙獣の大粒ナミダ,G. larme bête,capcom-official:mhrise-sunbreak
牢固な重骨,Os ferme,capcom-official:mhrise-sunbreak
特大水袋,Poche de déluge,capcom-official:mhrise-sunbreak
特大氷結化石,Foss. giv. géant,capcom-official:mhrise-sunbreak
特撰アルビノ,Steak Khezu,capcom-official:mhrise-sunbreak
特撰キノコ,Champignons prisés,capcom-official:mhrise-sunbreak
特濃マカ油,Gâteau de fusion,capcom-official:mhrise-sunbreak
特濃体肥液,Jus épais Golm,capcom-official:mhrise-sunbreak
特産キノコ,Champignon spéc.,capcom-official:mhrise-sunbreak
特産タケノコ,Super bambou,capcom-official:mhrise-sunbreak
狂淵の噛生虫,Parasite dément,capcom-official:mhrise-sunbreak
狂走エキス,Extrait vitalité,capcom-official:mhrise-sunbreak
狐火ホオズキ,Aubaiene,capcom-official:mhrise-sunbreak
狩友チケット,Coupon amitié,capcom-official:mhrise-sunbreak
狩猟王のコイン,Pièce Roi chasse,capcom-official:mhrise-sunbreak
狸獣の引火液,Briquet Bombadgy,capcom-official:mhrise-sunbreak
狸獣の発火液,Activateur Bombadgy,capcom-official:mhrise-sunbreak
猛毒袋,Poche de toxine,capcom-official:mhrise-sunbreak
獄炎の厚龍鱗,Éclat infernal,capcom-official:mhrise-sunbreak
獄炎の龍鱗,Écaille Teostra+,capcom-official:mhrise-sunbreak
獄炎ホオズキ,Confragralanterne,capcom-official:mhrise-sunbreak
獄炎石,Pierre de lave,capcom-official:mhrise-sunbreak
獣玉,Gemme bestiale,capcom-official:mhrise-sunbreak
玉髄化した竜大骨,G. os de calcéd.,capcom-official:mhrise-sunbreak
玉髄化した竜頭骨,Crâne de calcéd.,capcom-official:mhrise-sunbreak
玉髄化した竜骨塊,Masse osseuse calc.,capcom-official:mhrise-sunbreak
玉髄化した竜骨片,Os de calcédoine,capcom-official:mhrise-sunbreak
王国騎士団の証Ⅰ,Certificat Royal I,capcom-official:mhrise-sunbreak
王国騎士団の証Ⅱ,Certificat Royal II,capcom-official:mhrise-sunbreak
王国騎士団の証Ⅲ,Certificat Royal III,capcom-official:mhrise-sunbreak
王家の金貨,Pièce roy. parf.,capcom-official:mhrise-sunbreak
王様サボテン,Cactus royal,capcom-official:mhrise-sunbreak
王者のクチバシ,Bec du roi,capcom-official:mhrise-sunbreak
王者のトサカ,Crête royale,capcom-official:mhrise-sunbreak
王道の異国製図,Dessins nobles,capcom-official:mhrise-sunbreak
王錦魚,Roi-koï,capcom-official:mhrise-sunbreak
王鎧玉,Sphère d'armure royale,capcom-official:mhrise-sunbreak
琥珀色の牙,Croc d'ambre,capcom-official:mhrise-sunbreak
琥珀色の重牙,Croc lourd d'ambre,capcom-official:mhrise-sunbreak
琥珀色の鋭牙,Croc d'ambre+,capcom-official:mhrise-sunbreak
瑠璃原珠,Joyau Lazurite,capcom-official:mhrise-sunbreak
生命の大粉塵,Poussière de vie,capcom-official:mhrise-sunbreak
生命の粉塵,Poudre de vie,capcom-official:mhrise-sunbreak
生焼け肉,Steak saignant,capcom-official:mhrise-sunbreak
生肉,Viande crue,capcom-official:mhrise-sunbreak
甲虫の大顎,Mâchoire Altar.,capcom-official:mhrise-sunbreak
甲虫の腹袋,Estomac Altaroth,capcom-official:mhrise-sunbreak
異国の金貨,Pièce étrangère,capcom-official:mhrise-sunbreak
白き大神の絵,Des. déesse du soleil,capcom-official:mhrise-sunbreak
白兎獣の凍爪,Griffe gel. Lag.,capcom-official:mhrise-sunbreak
白兎獣の剛凍爪,Grif. givrée Lagombi,capcom-official:mhrise-sunbreak
白兎獣の剛毛,Peau Lagombi+,capcom-official:mhrise-sunbreak
白兎獣の地獄耳,Auricule Lagombi,capcom-official:mhrise-sunbreak
白兎獣の堅腹甲,Plastron Lago.+,capcom-official:mhrise-sunbreak
白兎獣の大耳,Oreille Lagombi+,capcom-official:mhrise-sunbreak
白兎獣の毛,Peau Lagombi,capcom-official:mhrise-sunbreak
白兎獣の氷爪,Griffe gl. Lag.,capcom-official:mhrise-sunbreak
白兎獣の耳,Oreille Lagombi,capcom-official:mhrise-sunbreak
白兎獣の腹甲,Plastron Lagombi,capcom-official:mhrise-sunbreak
白兎獣の豪剛毛,Fourrure Lagombi,capcom-official:mhrise-sunbreak
白兎獣の重腹甲,Cuirasse Lagombi,capcom-official:mhrise-sunbreak
白妙の滑液,Synovie blanche,capcom-official:mhrise-sunbreak
白金魚,Poisson platine,capcom-official:mhrise-sunbreak
百竜撃退の証・一,Ticket Défens. 1,capcom-official:mhrise-sunbreak
百竜撃退の証・七,Ticket Défens. 7,capcom-official:mhrise-sunbreak
百竜撃退の証・三,Ticket Défens. 3,capcom-official:mhrise-sunbreak
百竜撃退の証・九,Ticket défens. 9,capcom-official:mhrise-sunbreak
百竜撃退の証・二,Ticket Défens. 2,capcom-official:mhrise-sunbreak
百竜撃退の証・五,Ticket Défens. 5,capcom-official:mhrise-sunbreak
百竜撃退の証・八,Ticket Défens. 8,capcom-official:mhrise-sunbreak
百竜撃退の証・六,Ticket Défens. 6,capcom-official:mhrise-sunbreak
百竜撃退の証・四,Ticket Défens. 4,capcom-official:mhrise-sunbreak
皇帝サボテン,Cactus empereur,capcom-official:mhrise-sunbreak
相克の変異角,Corne diamétriqu,capcom-official:mhrise-sunbreak
盾蟹の剛爪,Serre Hermitaur,capcom-official:mhrise-sunbreak
盾蟹の極小殻,Mini carap. Hermitaur,capcom-official:mhrise-sunbreak
盾蟹の重殻,Cortex Hermitaur,capcom-official:mhrise-sunbreak
真珠色の柔皮,Peau de perle,capcom-official:mhrise-sunbreak
真珠色の艶皮,Cuir de perle,capcom-official:mhrise-sunbreak
真紅蓮石,Pierre ardente,capcom-official:mhrise-sunbreak
真鎧玉,Sphère d'armure pure,capcom-official:mhrise-sunbreak
眠り投げクナイ,Kunai somn.,capcom-official:mhrise-sunbreak
眠り生肉,Viande somnifère,capcom-official:mhrise-sunbreak
眠狗竜の上皮,Peau G. Baggi+,capcom-official:mhrise-sunbreak
眠狗竜の厚皮,Peau ép. Gd Baggi,capcom-official:mhrise-sunbreak
眠狗竜の尖爪,Griffe G. Baggi+,capcom-official:mhrise-sunbreak
眠狗竜の爪,Griffe G. Baggi,capcom-official:mhrise-sunbreak
眠狗竜の皮,Peau Grand Baggi,capcom-official:mhrise-sunbreak
睡眠ビン,Fiole de sommeil,capcom-official:mhrise-sunbreak
睡眠袋,Poche somnifère,capcom-official:mhrise-sunbreak
瞬間凍結袋,Poche cryogène,capcom-official:mhrise-sunbreak
知識の結晶,Cristal sagesse,capcom-official:mhrise-sunbreak
砥石,Aiguisoir,capcom-official:mhrise-sunbreak
破傀の堅龍骨,Corne du sceau aff.+,capcom-official:mhrise-sunbreak
破傀の浄龍血,Sang pur dragon éveillé,capcom-official:mhrise-sunbreak
破傀の濃龍血,Sang épais dragon éveillé,capcom-official:mhrise-sunbreak
破傀の重龍骨,Os robustos éveillé,capcom-official:mhrise-sunbreak
破傀の龍血,Sang dragon éveillé,capcom-official:mhrise-sunbreak
破傀の龍骨,Corne du sceau aff.,capcom-official:mhrise-sunbreak
硬化の粉塵,Poudre de pierre,capcom-official:mhrise-sunbreak
硬化弾,Peau-de-pierre,capcom-official:mhrise-sunbreak
硬化薬,Potion de pierre,capcom-official:mhrise-sunbreak
硬化薬グレート,Potion pierre+,capcom-official:mhrise-sunbreak
禍々しい冥布,Étoffe lugubre,capcom-official:mhrise-sunbreak
禍々しい布,Étoffe sinistre,capcom-official:mhrise-sunbreak
禍々しい闇布,Étof. archi-sin.,capcom-official:mhrise-sunbreak
福引券,Ticket loterie,capcom-official:mhrise-sunbreak
秘伝の団子素材,Herbe légendaire,capcom-official:mhrise-sunbreak
秘密のポーチ,Poche secrète,capcom-official:mhrise-sunbreak
秘密の変装ツール,Engin déguisem.,capcom-official:mhrise-sunbreak
秘薬,Potion secrète,capcom-official:mhrise-sunbreak
積怨の禍鱗,Écaille draconique tenace,capcom-official:mhrise-sunbreak
空きビン,Fiole vide,capcom-official:mhrise-sunbreak
穿つ巨大クチバシ,Bec colossal,capcom-official:mhrise-sunbreak
竜のナミダ,Larme de wyverne,capcom-official:mhrise-sunbreak
竜の上質な卵,Œuf wyv. qualité,capcom-official:mhrise-sunbreak
竜の卵,Œuf de wyverne,capcom-official:mhrise-sunbreak
竜の大粒ナミダ,G. larme wyv.,capcom-official:mhrise-sunbreak
竜の最上級卵,Œuf wyverne suprême,capcom-official:mhrise-sunbreak
竜の極上な卵,Œuf wyverne premium,capcom-official:mhrise-sunbreak
竜撃弾,Wyverne,capcom-official:mhrise-sunbreak
竜玉,Gemme wyverne,capcom-official:mhrise-sunbreak
竜骨【中】,Os monstre (M),capcom-official:mhrise-sunbreak
竜骨【大】,Os monstre (G),capcom-official:mhrise-sunbreak
竜骨【小】,Os monstre (P),capcom-official:mhrise-sunbreak
精気琥珀,Essence d'ambre,capcom-official:mhrise-sunbreak
精気琥珀・上,Essence d'ambre+,capcom-official:mhrise-sunbreak
精気琥珀・尖,Superbe essence d'ambre,capcom-official:mhrise-sunbreak
精気琥珀・王,Essence d'ambre royale,capcom-official:mhrise-sunbreak
精気琥珀・真,Essence d'ambre pure,capcom-official:mhrise-sunbreak
精気食む噛生虫,Parasite de sang,capcom-official:mhrise-sunbreak
紅晶チケット,Ticket cristal pourpre,capcom-official:mhrise-sunbreak
紅色の種,Graine écarlate,capcom-official:mhrise-sunbreak
紅蓮にゆれる銀殻,Coquillargent flamb.,capcom-official:mhrise-sunbreak
紅蓮石,Pierre de feu,capcom-official:mhrise-sunbreak
素朴な彩水晶,Prisme simple,capcom-official:mhrise-sunbreak
結晶の異国製図,Dessins cristallisés,capcom-official:mhrise-sunbreak
絶品キノコ,Champignon exquis,capcom-official:mhrise-sunbreak
絶品タケノコ,Pousse exquise,capcom-official:mhrise-sunbreak
緋天狗獣の剛爪,Serre Bisha sanguin+,capcom-official:mhrise-sunbreak
緋天狗獣の豪剛毛,Four. Bisha sanguin+,capcom-official:mhrise-sunbreak
緋天狗獣の豪腕羽,Plume Bisha sanguin+,capcom-official:mhrise-sunbreak
緋天狗獣の重尾甲,Chevron Bisha sanguin+,capcom-official:mhrise-sunbreak
緋天狗獣の重頭襟,Corne Bisha sanguin+,capcom-official:mhrise-sunbreak
縞模様の特上皮,Cuir spécial rayé,capcom-official:mhrise-sunbreak
縞模様の皮,Cuir rayé,capcom-official:mhrise-sunbreak
羅刹の金剛角,Corne dorée macabre,capcom-official:mhrise-sunbreak
美食ツボカズラ,Plante mangeuse,capcom-official:mhrise-sunbreak
翼蛇竜の上皮,Peau Remobra+,capcom-official:mhrise-sunbreak
翼蛇竜の特上皮,Cuir spécial Remobra,capcom-official:mhrise-sunbreak
翼蛇竜の特上頭,Large tête Remobra,capcom-official:mhrise-sunbreak
翼蛇竜の皮,Peau Remobra,capcom-official:mhrise-sunbreak
翼蛇竜の頭,Tête Remobra,capcom-official:mhrise-sunbreak
肉厚な上皮,Cuir charnu+,capcom-official:mhrise-sunbreak
肉厚な皮,Cuir charnu,capcom-official:mhrise-sunbreak
肉焼きセット,Broche BBQ,capcom-official:mhrise-sunbreak
肉球のスタンプ,Pattes-de-chat,capcom-official:mhrise-sunbreak
肉球の優待券,Ticket pattes-de-chat,capcom-official:mhrise-sunbreak
肥沃なドロ,Boue fertile,capcom-official:mhrise-sunbreak
背反する双逆鱗,Écaille contrair,capcom-official:mhrise-sunbreak
臣蜘蛛の糸,Soie Rachnoid,capcom-official:mhrise-sunbreak
臣蜘蛛の絹糸,Soie Rachnoid+,capcom-official:mhrise-sunbreak
臣蜘蛛の艶糸,Supersoie Rachnoid,capcom-official:mhrise-sunbreak
航路図【複製】,Carte marine (copie),capcom-official:mhrise-sunbreak
苔むした重土骨,Os dur géant,capcom-official:mhrise-sunbreak
英雄王のコイン,Pièce Roi héroïque,capcom-official:mhrise-sunbreak
茶屋印の風呂敷,Tissu imprimé,capcom-official:mhrise-sunbreak
草食種の大重骨,Gros os d'herbivore,capcom-official:mhrise-sunbreak
草食竜の上質な卵,Œuf Rhenoplos+,capcom-official:mhrise-sunbreak
草食竜の卵,Œuf d'herbivore,capcom-official:mhrise-sunbreak
草食竜の堅殻,Cuirasse Rheno.,capcom-official:mhrise-sunbreak
草食竜の極上な卵,Œuf herbivore premium,capcom-official:mhrise-sunbreak
草食竜の甲殻,Carapace Rheno.,capcom-official:mhrise-sunbreak
草食竜の頭殻,Scalp Rhenoplos,capcom-official:mhrise-sunbreak
落とし穴,Piège à fosse,capcom-official:mhrise-sunbreak
落陽草,Herbe Sansoleil,capcom-official:mhrise-sunbreak
落陽草の花,Fleur crépuscule,capcom-official:mhrise-sunbreak
蒼世の宝玉,Gemme Ère d'azur,capcom-official:mhrise-sunbreak
蒼世の証,Sceau Ère d'azur,capcom-official:mhrise-sunbreak
蒼色の種,Graine bleue,capcom-official:mhrise-sunbreak
薄氷色のジオード,Géode glaciale,capcom-official:mhrise-sunbreak
薬用マカ油,Nectar de fusion,capcom-official:mhrise-sunbreak
薬草,Herbe,capcom-official:mhrise-sunbreak
虹盛り茸,Champarc-en-ciel,capcom-official:mhrise-sunbreak
虹色のジオード,Géode iridescente,capcom-official:mhrise-sunbreak
蛮顎竜の上毛皮,Peau Anjanath+,capcom-official:mhrise-sunbreak
蛮顎竜の上鱗,Écaille Anja.+,capcom-official:mhrise-sunbreak
蛮顎竜の厚毛皮,Fourrure Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の厚鱗,Éclat Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の大鼻骨,Os nasal Anja.+,capcom-official:mhrise-sunbreak
蛮顎竜の天鱗,Mante Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の宝玉,Gemme Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の尻尾,Queue Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の毛皮,Pelage Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の牙,Croc Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の逆鱗,Plaque Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の重牙,Croc lourd Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の重鼻骨,Gd os nasal Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の鋭牙,Croc Anjanath+,capcom-official:mhrise-sunbreak
蛮顎竜の靭尾,Fouet Anjanath,capcom-official:mhrise-sunbreak
蛮顎竜の鱗,Écaille Anjanath,capcom-official:mhrise-sunbreak
