jp,fr,occurrences,origin,example
ザザミZ,Hermitaur,20,en-patch,ザザミZFヘルム / ザザミZFキャップ
レウスZ,Rathalos,20,en-patch,レウスZFヘルム / レウスZFキャップ
ブランゴZ,Blango,20,en-patch,ブランゴZFヘルム / ブランゴZFキャップ
ヴァシムZ,Vashimu,20,en-patch,ヴァシムZFヘルム / ヴァシムZFキャップ
レックスZ,Tigrex,20,en-patch,レックスZFヘルム / レックスZFキャップ
ヒュジZ,Hyujikiki,20,en-patch,ヒュジZFヘルム / ヒュジZFキャップ
ギアZ,,20,unresolved,ギアZFヘルム / ギアZFキャップ
ミドZ,Midogaron,20,en-patch,ミドZFヘルム / ミドZFキャップ
ルコZ,Ruko,20,en-patch,ルコZFヘルム / ルコZFキャップ
ガノZ,Plesioth,20,en-patch,ガノZFヘルム / ガノZFキャップ
イナガミZ,Inagami,20,en-patch,イナガミZDヘルム / イナガミZFヘルム
CEケブラーＤ,CE,20,en-patch,CEケブラーＤ頭：剣青 / CEケブラーＤ頭：剣赤
ABレイヤーＤ,,20,unresolved,ABレイヤーＤ頭：剣赤 / ABレイヤーＤ頭：剣青
トリドZ,Toridcless,20,en-patch,トリドZFヘルム / トリドZFキャップ
ドラギュZ,Doragyurosu,20,en-patch,ドラギュZFヘルム / ドラギュZFキャップ
ガスラZ,Gasura,20,en-patch,ガスラZFヘルム / ガスラZFキャップ
アノルZ,Anorupatisu,20,en-patch,アノルZDヘルム / アノルZDキャップ
ボガバドZ,Bogabado,20,en-patch,ボガバドZFヘルム / ボガバドZFキャップ
タンザナ,Tanzanite,20,en-patch,タンザナヘルム / タンザナＦヘルム
ヘマタイト,Hématite,20,francised,ヘマタイトヘルム / ヘマタイトＦヘルム
白虎・磁星,,20,unresolved,白虎・磁星Ｇヘルム / 白虎・磁星GFヘルム
朱雀・磁星,,20,unresolved,朱雀・磁星Ｇヘルム / 朱雀・磁星GFヘルム
玄武・磁星,,20,unresolved,玄武・磁星Ｇヘルム / 玄武・磁星GFヘルム
青龍・磁星,,20,unresolved,青龍・磁星Ｇヘルム / 青龍・磁星GFヘルム
バルラZ,Baruragaru,20,en-patch,バルラZFヘルム / バルラZFキャップ
グラビZ,Gravios,20,en-patch,グラビZFヘルム / グラビZFキャップ
ザムザZ,Zamuza,20,en-patch,ザムザZFヘルム / ザムザZFキャップ
ハルドZ,Harudo,20,en-patch,ハルドZFヘルム / ハルドZFキャップ
ブリッツ,,20,unresolved,ブリッツベスト / ブリッツＦベスト
ルクス,Rks,18,romaji,ルクスヘッド / ルクスＦヘッド
テネール,Tenel,18,romaji,テネールヘッド / テネールＦヘッド
アトロ,Atlo,18,romaji,アトロヘッド / アトロＦヘッド
バット,,18,unresolved,バットヘッド / バットＦヘッド
ナイト,Chevalier,18,francised,ナイトヘッド / ナイトＦヘッド
昇龍,,18,unresolved,昇龍篭手・白 / 昇龍Ｆ篭手・白
波動,,18,unresolved,波動篭手・白 / 波動Ｆ篭手・白
チェーン,Chainmail,17,en-patch,チェーンヘルム / チェーンＵヘルム
ルーキー,Recrue,16,francised,ルーキーヘルム【白】 / ルーキーヘルム【赤】
クロオビ,Kloobi,15,romaji,クロオビヘルム / クロオビＳヘルム
ウィダ,Uida,15,en-patch,ウィダヘッド / ウィダマスク
シャッセ,Shasse,15,en-patch,シャッセヘルム / シャッセキャップ
ジャガー,Jyaga,15,en-patch,ジャガーヘルム / ジャガーキャップ
月夜・剣聖,,15,unresolved,月夜・剣聖Ｇヘルム / 月夜・剣聖GFヘルム
蒼穹・剣聖,,15,unresolved,蒼穹・剣聖Ｇヘルム / 蒼穹・剣聖GFヘルム
月夜・双龍,,15,unresolved,月夜・双龍Ｇヘルム / 月夜・双龍GFヘルム
蒼穹・双龍,,15,unresolved,蒼穹・双龍Ｇヘルム / 蒼穹・双龍GFヘルム
月夜・剣王,,15,unresolved,月夜・剣王Ｇヘルム / 月夜・剣王GFヘルム
蒼穹・剣王,,15,unresolved,蒼穹・剣王Ｇヘルム / 蒼穹・剣王GFヘルム
月夜・刀神,,15,unresolved,月夜・刀神Ｇヘルム / 月夜・刀神GFヘルム
蒼穹・刀神,,15,unresolved,蒼穹・刀神Ｇヘルム / 蒼穹・刀神GFヘルム
月夜・鈍器獣,,15,unresolved,月夜・鈍器獣Ｇヘルム / 月夜・鈍器獣GFヘルム
蒼穹・鈍器獣,,15,unresolved,蒼穹・鈍器獣Ｇヘルム / 蒼穹・鈍器獣GFヘルム
月夜・奏帝,,15,unresolved,月夜・奏帝Ｇヘルム / 月夜・奏帝GFヘルム
蒼穹・奏帝,,15,unresolved,蒼穹・奏帝Ｇヘルム / 蒼穹・奏帝GFヘルム
月夜・天槍,,15,unresolved,月夜・天槍Ｇヘルム / 月夜・天槍GFヘルム
蒼穹・天槍,,15,unresolved,蒼穹・天槍Ｇヘルム / 蒼穹・天槍GFヘルム
月夜・砲皇,,15,unresolved,月夜・砲皇Ｇヘルム / 月夜・砲皇GFヘルム
蒼穹・砲皇,,15,unresolved,蒼穹・砲皇Ｇヘルム / 蒼穹・砲皇GFヘルム
月夜・穿凰,,15,unresolved,月夜・穿凰Ｇヘルム / 月夜・穿凰GFヘルム
蒼穹・穿凰,,15,unresolved,蒼穹・穿凰Ｇヘルム / 蒼穹・穿凰GFヘルム
月夜・銃仙,,15,unresolved,月夜・銃仙Ｇマスク / 月夜・銃仙GFマスク
蒼穹・銃仙,,15,unresolved,蒼穹・銃仙Ｇマスク / 蒼穹・銃仙GFマスク
月夜・銃傑,,15,unresolved,月夜・銃傑Ｇマスク / 月夜・銃傑GFマスク
蒼穹・銃傑,,15,unresolved,蒼穹・銃傑Ｇマスク / 蒼穹・銃傑GFマスク
月夜・弓鬼,,15,unresolved,月夜・弓鬼Ｇマスク / 月夜・弓鬼GFマスク
蒼穹・弓鬼,,15,unresolved,蒼穹・弓鬼Ｇマスク / 蒼穹・弓鬼GFマスク
月夜・斬将,,15,unresolved,月夜・斬将Ｇヘルム / 月夜・斬将GFヘルム
蒼穹・斬将,,15,unresolved,蒼穹・斬将Ｇヘルム / 蒼穹・斬将GFヘルム
ドゥンル,Donru,15,en-patch,ドゥンルGXヘルム / ドゥンルGXキャップ
月夜・磁星,,15,unresolved,月夜・磁星Ｇヘルム / 月夜・磁星GFヘルム
蒼穹・磁星,,15,unresolved,蒼穹・磁星Ｇヘルム / 蒼穹・磁星GFヘルム
スティール,Acier,15,francised,スティールメイル / スティールＵメイル
ドラゴン,,14,unresolved,ドラゴンヘッド / ドラゴンＳヘッド
デストラ,Desutora,14,en-patch,デストラＤヘルム / デストラGSヘルム
ヒプノルータ,Hipnorta,13,romaji,ヒプノルータヘッド / ヒプノルータピアス
エス・クェラ,Es,13,en-patch,エス・クェラヘッド / エス・クェラピアス
ヒプノリア,Hypnolia,13,en-patch,ヒプノリアヘッド / ヒプノリアピアス
ガンズ,Guns,13,en-patch,ガンズヘッド / ガンズピアス
エコール,Ecole,13,en-patch,エコールヘッド / エコールピアス
アグリア,Agria,13,en-patch,アグリアヘッド / アグリアピアス
フォーヴ,Fauve,13,en-patch,フォーヴヘッド / フォーヴピアス
ティーア,Tia,13,romaji,ティーアヘッド / ティーアピアス
キリン,Kirin,13,monster,キリンベスト / キリンＳベスト
ゴシック,Gothic,12,en-patch,ゴシックピアス / ゴシックＦピアス
あかねこ服,,12,unresolved,あかねこ服マスク / あかねこ服Ｆマスク
オルテモ,Orutemo,12,en-patch,オルテモＦヘッド / オルテモＦハット
ディーナ,Diina,12,en-patch,ディーナヘッド / ディーナＦヘッド
ネコ,Neko,12,romaji,ネコピアス【慰労】 / ネコＦピアス【慰労】
シェル,,12,unresolved,シェルスーツ / シェルＦスーツ
ベクター,Vecteur,12,francised,ベクタースーツ / ベクターＦスーツ
ゴールドルナ,,10,unresolved,ゴールドルナヘルム / ゴールドルナキャップ
シルバーソル,,10,unresolved,シルバーソルヘルム / シルバーソルキャップ
プロクス,Purokusu,10,en-patch,プロクスピアス / プロクスＦピアス
クレネス,Kurenesu,10,en-patch,クレネスピアス / クレネスＦピアス
スィーニ,Suini,10,en-patch,スィーニピアス / スィーニＦピアス
グラース,Guraasu,10,en-patch,グラースハール / グラースＦハール
フォルトゥ,Forutu,10,en-patch,フォルトゥピアス / フォルトゥＦピアス
ファキル,Fakiru,10,en-patch,ファキルピアス / ファキルＦピアス
バラバン,Baraban,10,en-patch,バラバンピアス / バラバンＦピアス
スフェラ,Sufera,10,en-patch,スフェラハール / スフェラＦハール
Ｃｏｒｅ,Core,10,en-patch,Ｃｏｒｅヘルム / Ｃｏｒｅキャップ
キノス,Kinosu,10,en-patch,キノスヘルム / キノスＤヘルム
アスハルテ,Ashalt,10,en-patch,アスハルテヘッド / アスハルテマスク
ソルダート,Soldato,10,en-patch,ソルダートヘッド / ソルダートマスク
ゲイブル,,10,unresolved,ゲイブルヘッド / ゲイブルマスク
スティーダ,Stida,10,romaji,スティーダヘッド / スティーダマスク
フィデル,Fidel,10,romaji,フィデルピアス / フィデルＦピアス
ファクト,Fakt,10,romaji,ファクトピアス / ファクトＦピアス
シュロス,Shuros,10,romaji,シュロスピアス / シュロスＦピアス
アエトス,Aets,10,romaji,アエトスハール / アエトスＦハール
ヴェルス,Vers,10,romaji,ヴェルスピアス / ヴェルスＦピアス
フラント,Flant,10,romaji,フラントピアス / フラントＦピアス
セリュー,Serieux,10,en-patch,セリューピアス / セリューＦピアス
ウェネス,Wenes,10,romaji,ウェネスハール / ウェネスＦハール
ヴィリヴラ,Virivla,10,romaji,ヴィリヴラヘッド / ヴィリヴラマスク
アングリフ,Angriff,10,en-patch,アングリフヘッド / アングリフマスク
シュッツ,Schutz,10,en-patch,シュッツヘッド / シュッツマスク
ヒルフェ,Hilfe,10,en-patch,ヒルフェヘッド / ヒルフェマスク
アセルス,Asers,10,romaji,アセルスヘッド / アセルスＦヘッド
スクラ,Skla,10,romaji,スクラヘッド / スクラＦヘッド
ファルム,Farm,10,romaji,ファルムヘッド / ファルムＦヘッド
スディブ,Sdib,10,romaji,スディブヘッド / スディブＦヘッド
フィブラ,Fibla,10,romaji,フィブラヘッド / フィブラＦヘッド
リガス,Rigas,10,romaji,リガスヘッド / リガスＦヘッド
ゲレール,Gerel,10,romaji,ゲレールヘッド / ゲレールＦヘッド
レーラー,Rera,10,romaji,レーラーヘッド / レーラーＦヘッド
フェサー,Fesa,10,romaji,フェサーヘッド / フェサーＦヘッド
シアンス,Shians,10,romaji,シアンスハット / シアンスＦハット
シデロ,Shidero,10,romaji,シデロヘルム / シデロＦヘルム
オール,Ol,10,romaji,オールヘルム / オールＦヘルム
メタロ,Metaro,10,romaji,メタロヘルム / メタロＦヘルム
アルジャ,Arja,10,romaji,アルジャマスク / アルジャＦマスク
エクスト,Ekst,10,romaji,エクストヘルム / エクストキャップ
コカロ,Kokaro,10,romaji,コカロヘルム / コカロキャップ
ウルバヌ,Urbanu,10,romaji,ウルバヌヘルム / ウルバヌＦヘルム
マグヌス,Magnus,10,romaji,マグヌスヘルム / マグヌスＦヘルム
ソレルス,Sorers,10,romaji,ソレルスヘルム / ソレルスＦヘルム
パルフェ,Parfe,10,romaji,パルフェマスク / パルフェＦマスク
アスティ,Asti,10,romaji,アスティヘルム / アスティＦヘルム
アガトン,Agatn,10,romaji,アガトンヘルム / アガトンＦヘルム
ランプロ,Ranplo,10,romaji,ランプロヘルム / ランプロＦヘルム
ソフィス,Sofis,10,romaji,ソフィスマスク / ソフィスＦマスク
フュルス,Fyurs,10,romaji,フュルスマスク / フュルスＦマスク
ネウロン,Neuron,10,romaji,ネウロンマスク / ネウロンＦマスク
ミスク,Misk,10,romaji,ミスクピアス / ミスクＦピアス
ラソス,Rasos,10,romaji,ラソスピアス / ラソスＦピアス
クルシッド,Klshidd,10,romaji,クルシッドヘルム / クルシッドＦヘルム
ヴェロシ,Veroshi,10,romaji,ヴェロシヘルム / ヴェロシＦヘルム
ケプト,Kept,10,romaji,ケプトヘルム / ケプトＦヘルム
ハウット,Hautt,10,romaji,ハウットマスク / ハウットＦマスク
ヴェンガ,Venga,10,romaji,ヴェンガヘルム / ヴェンガＦヘルム
スプリン,Splin,10,romaji,スプリンヘルム / スプリンＦヘルム
マシャル,Mashal,10,romaji,マシャルヘルム / マシャルＦヘルム
ペンブル,Penbl,10,romaji,ペンブルマスク / ペンブルＦマスク
ゴラエス,Goraes,10,romaji,ゴラエスヘルム / ゴラエスＦヘルム
バシリス,Bashiris,10,romaji,バシリスヘルム / バシリスＦヘルム
インジン,Injin,10,romaji,インジンヘルム / インジンＦヘルム
デクスタ,Dexter,10,en-patch,デクスタマスク / デクスタＦマスク
ジャッグ,Jagg,10,romaji,ジャッグヘルム / ジャッグＦヘルム
コンシラ,Konshira,10,romaji,コンシラヘルム / コンシラＦヘルム
プレデタ,Prédateur,10,francised,プレデタヘルム / プレデタＦヘルム
プリジド,Plijid,10,romaji,プリジドマスク / プリジドＦマスク
ヴェスナ,Vesna,10,romaji,ヴェスナヘッド / ヴェスナＦヘッド
ベラノ,Berano,10,romaji,ベラノヘッド / ベラノＦヘッド
カリフ,Karif,10,romaji,カリフヘッド / カリフＦヘッド
シター,Shita,10,romaji,シターマスク / シターＦマスク
コンセト,Konset,10,romaji,コンセトヘッド / コンセトＦヘッド
バステル,Bastel,10,romaji,バステルヘッド / バステルＦヘッド
カタフ,Kataf,10,romaji,カタフヘッド / カタフＦヘッド
ハネツァ,Hanetsa,10,romaji,ハネツァマスク / ハネツァＦマスク
フレイヤ,Freyja,10,en-patch,フレイヤヘッド / フレイヤピアス
アナトリ,Anatli,10,romaji,アナトリヘルム / アナトリキャップ
アレス,Ares,10,romaji,アレスヘッド / アレスＦヘッド
カリノ,Karino,10,romaji,カリノヘッド / カリノＦヘッド
ルルス,Rrs,10,romaji,ルルスヘッド / ルルスＦヘッド
ナーダ,Nada,10,en-patch,ナーダハット / ナーダＦハット
ロサ,Rosa,10,en-patch,ロサヘッド / ロサＦヘッド
ハオス,Haosu,10,en-patch,ハオスヘッド / ハオスＦヘッド
ミール,Miru,10,en-patch,ミールヘッド / ミールＦヘッド
パス,Pasu,10,en-patch,パスハット / パスＦハット
ジェアム,Jeamu,10,en-patch,ジェアムヘルム / ジェアムＦヘルム
アミュス,Amyusu,10,en-patch,アミュスヘルム / アミュスＦヘルム
クレバン,Clevan,10,en-patch,クレバンヘルム / クレバンＦヘルム
メテロス,Meterosu,10,en-patch,メテロスマスク / メテロスＦマスク
シプレル,Shipureru,10,en-patch,シプレルヘルム / シプレルＦヘルム
トレスパ,Toresupa,10,en-patch,トレスパヘルム / トレスパＦヘルム
ステラル,Suteraru,10,en-patch,ステラルヘルム / ステラルＦヘルム
ハキュラ,Hakyura,10,en-patch,ハキュラマスク / ハキュラＦマスク
ツヴィンガ,Zwinger,10,en-patch,ツヴィンガヘッド / ツヴィンガマスク
フルイト,Fluit,10,romaji,フルイトヘルム / フルイトＦヘルム
ゲレオン,Gereon,10,romaji,ゲレオンヘルム / ゲレオンＦヘルム
ケック,Kekk,10,romaji,ケックヘルム / ケックＦヘルム
ヘンフロ,Henflo,10,romaji,ヘンフロキャップ / ヘンフロＦキャップ
フリゲト,Fliget,10,romaji,フリゲトヘルム / フリゲトＦヘルム
バーク,Bak,10,romaji,バークヘルム / バークＦヘルム
ブリガン,Bligan,10,romaji,ブリガンヘルム / ブリガンＦヘルム
プラム,Plam,10,romaji,プラムキャップ / プラムＦキャップ
ルルディ,Rurudi,10,en-patch,ルルディヘッド / ルルディピアス
スケイナ,Skeina,10,romaji,スケイナヘルム / スケイナＦヘルム
ミッシナ,Misshina,10,romaji,ミッシナヘルム / ミッシナＦヘルム
プリース,Plis,10,romaji,プリースヘルム / プリースＦヘルム
レキトリ,Rekitli,10,romaji,レキトリキャップ / レキトリＦキャップ
マドニカ,Madnika,10,romaji,マドニカヘルム / マドニカＦヘルム
ヴィリヤ,Viriya,10,romaji,ヴィリヤヘルム / ヴィリヤＦヘルム
ラプラル,Raplal,10,romaji,ラプラルヘルム / ラプラルＦヘルム
サザール,Sazal,10,romaji,サザールキャップ / サザールＦキャップ
ヴェルフィ,Verfi,10,romaji,ヴェルフィヘルム / ヴェルフィキャップ
スイフド,Suifudo,10,en-patch,スイフドヘッド / スイフドＦヘッド
メロデス,Merodesu,10,en-patch,メロデスヘッド / メロデスＦヘッド
スマトス,Sumatosu,10,en-patch,スマトスヘッド / スマトスＦヘッド
パッシオ,Passhio,10,en-patch,パッシオハール / パッシオＦハール
フレイ,Flei,10,romaji,フレイヘッド / フレイピアス
クロノス,Klonos,10,romaji,クロノスヘッド / クロノスピアス
フラート,Flat,10,romaji,フラートヘッド / フラートＦヘッド
ナーレー,Nare,10,romaji,ナーレーヘッド / ナーレーＦヘッド
ヘイツ,Heits,10,romaji,ヘイツヘッド / ヘイツＦヘッド
レーング,Reng,10,romaji,レーングハール / レーングＦハール
シャッド,Shadd,10,romaji,シャッドヘッド / シャッドＦヘッド
フュージ,Fyuji,10,romaji,フュージヘッド / フュージＦヘッド
タニイ,Tanii,10,romaji,タニイヘッド / タニイＦヘッド
ミナム,Minam,10,romaji,ミナムハール / ミナムＦハール
デュスノ,Deyusno,10,romaji,デュスノＦヘルム / デュスノＦキャップ
レアー,Rea,10,romaji,レアーヘッド / レアーピアス
ハーデス,Hades,10,romaji,ハーデスヘッド / ハーデスピアス
コルヌー,Kornu,10,romaji,コルヌーヘッド / コルヌーピアス
コピアイ,Kopiai,10,romaji,コピアイヘッド / コピアイピアス
カタンテZ,Katante,10,en-patch,カタンテZFヘルム / カタンテZFキャップ
タロスＵＤ,Hornetaur,10,en-patch,タロスＵＤヘルム / タロスＵＤキャップ
ﾖﾙﾊ九号S型,YoRHa,10,en-patch,ﾖﾙﾊ九号S型ヘッド / ﾖﾙﾊ九号S型マスク
ﾖﾙﾊ九号S型Ｆ,YoRHa,10,en-patch,ﾖﾙﾊ九号S型Ｆヘッド / ﾖﾙﾊ九号S型Ｆマスク
ﾖﾙﾊ九号S型FZ,YoRHa,10,en-patch,ﾖﾙﾊ九号S型FZヘッド / ﾖﾙﾊ九号S型FZマスク
ﾖﾙﾊ九号S型HS,YoRHa,10,en-patch,ﾖﾙﾊ九号S型HSヘッド / ﾖﾙﾊ九号S型HSマスク
ﾖﾙﾊ九号S型GS,YoRHa,10,en-patch,ﾖﾙﾊ九号S型GSヘッド / ﾖﾙﾊ九号S型GSマスク
ﾖﾙﾊ九号S型GP,YoRHa,10,en-patch,ﾖﾙﾊ九号S型GPヘッド / ﾖﾙﾊ九号S型GPマスク
ﾖﾙﾊ九号S型ZP,YoRHa,10,en-patch,ﾖﾙﾊ九号S型ZPヘッド / ﾖﾙﾊ九号S型ZPマスク
リカンテZ,Rikante,10,en-patch,リカンテZFヘルム / リカンテZFキャップ
コリニィZ,Korinyi,10,en-patch,コリニィZFバンド / コリニィZFヘッド
メレンテZ,Merente,10,en-patch,メレンテZFヘルム / メレンテZFキャップ
ウタンテZ,Utante,10,en-patch,ウタンテZFヘルム / ウタンテZFキャップ
フランテZ,Furante,10,en-patch,フランテZFヘルム / フランテZFキャップ
グリディZ,Guridi,10,en-patch,グリディZFヘルム / グリディZFキャップ
シフニィZ,Shifunyi,10,en-patch,シフニィZFバンド / シフニィZFヘッド
ロックマン,Rockman,10,en-patch,ロックマンキャップ / ロックマンＤキャップ
シャンルZ,Shanru,10,en-patch,シャンルZFヘルム / シャンルZFキャップ
ファンルZ,Fanru,10,en-patch,ファンルZFヘルム / ファンルZFキャップ
ミュンルZ,Myunru,10,en-patch,ミュンルZFヘルム / ミュンルZFキャップ
アメザリ,Amezari,9,en-patch,アメザリヘッド / アメザリキャップ
スカラー,Érudit,9,francised,スカラースーツ / スカラーＧスーツ
ビストロ,,8,unresolved,ビストロキャップ / ビストロＵキャップ
ジストレル,Jisutoreru,8,en-patch,ジストレルヘッド / ジストレルＦヘッド
エクストラ,,8,unresolved,エクストラヘッド / エクストラＦヘッド
ウナペルト,,8,unresolved,ウナペルトヘッド / ウナペルトＦヘッド
キューラー,Kyuura,8,en-patch,キューラーヘッド / キューラーＦヘッド
アミーゴ,Amigo,8,romaji,アミーゴピアス・赤 / アミーゴＦピアス・赤
アリエッタ,Arietta,8,en-patch,アリエッタヘッド / アリエッタＤヘッド
ミューズ,,8,unresolved,ミューズヘッド / ミューズＤヘッド
ディゼル,,8,unresolved,ディゼルハット / ディゼルＦハット
ミーツェ,Mitse,8,romaji,ミーツェハット / ミーツェＦハット
ヴィン,Vin,8,romaji,ヴィンヘッド / ヴィンＦヘッド
ヴァンデ,Vande,8,romaji,ヴァンデヘッド / ヴァンデＦヘッド
デスモ,Desmo,8,romaji,デスモヘッド / デスモＦヘッド
ウーズィ,Uzui,8,romaji,ウーズィヘッド / ウーズィＦヘッド
レガーメ,Regame,8,romaji,レガーメヘッド / レガーメＦヘッド
ノット,Nott,8,romaji,ノットヘッド / ノットＦヘッド
バルカン,Vulcan,8,en-patch,バルカンＧヘッド / バルカンGFヘッド
ビリス,Biris,8,romaji,ビリスベスト / ビリスＦベスト
ギエール,Giel,8,romaji,ギエールベスト / ギエールＦベスト
カウント,Kaunt,8,romaji,カウントベスト / カウントＦベスト
パスマ,Pasma,8,romaji,パスマベスト / パスマＦベスト
フィーブル,Fibl,8,romaji,フィーブルベスト / フィーブルＦベスト
ヴァラク,Varak,8,romaji,ヴァラクベスト / ヴァラクＦベスト
プーギー,Poogie,8,en-patch,プーギーフット / プーギーＦフット
アハバー,Ahaba,7,romaji,アハバーピアス / アハバーＦピアス
クローニー,Kloni,7,romaji,クローニーピアス / クローニーＦピアス
コントラ,,7,unresolved,コントラピアス / コントラＦピアス
ジントラ,Jintora,7,en-patch,ジントラピアス / ジントラＦピアス
アントラ,Antora,7,en-patch,アントラピアス / アントラＦピアス
ビントラ,Bintora,7,en-patch,ビントラピアス / ビントラＦピアス
タントラ,Tantora,7,en-patch,タントラピアス / タントラＦピアス
アービター,Arbitre,7,francised,アービターGSヘルム / アービターGPヘルム
レビ,Rebidiora,6,en-patch,レビＧヘッド / レビGFヘッド
グリンデ,Glinde,6,romaji,グリンデピアス / グリンデＦピアス
エンブレイス,Étreinte,6,francised,エンブレイスピアス / エンブレイスＦピアス
トロピオ,Tlopio,6,romaji,トロピオピアス / トロピオＦピアス
雷刃,,6,unresolved,雷刃篭手 / 雷刃Ｆ篭手
迅雷,,6,unresolved,迅雷篭手 / 迅雷Ｆ篭手
マフモフ,Mafumofu,6,en-patch,マフモフコート / マフモフＳコート
ミラルーツ,Fatalis,5,en-patch,ミラルーツヘッド / ミラルーツＲヘッド
ギルドナイト,Guilde,5,francised,ギルドナイトマスク / ギルドナイトスーツ
Ｋ・ロブスタ,,5,unresolved,Ｋ・ロブスタキャップ / Ｋ・ロブスタコイル
デュオ,,5,unresolved,デュオヘルム / デュオメイル
ホワイトメタル,Métal blanc,5,francised,ホワイトメタルピアス / ホワイトメタルメイル
プロギア,Purogia,5,en-patch,プロギアヘッド / プロギアメイル
オラシオン,Oracion,5,en-patch,オラシオンヘッド / オラシオンメイル
レクイエム,,5,unresolved,レクイエムヘッド / レクイエムメイル
ヒーラー,Guérisseur,5,francised,ヒーラーＲヘッド / ヒーラーベスト
クアッド,,5,unresolved,クアッドヘルム / クアッドメイル
ディジギア,Digi,5,en-patch,ディジギアヘッド / ディジギアメイル
プリエール,Priere,5,en-patch,プリエールヘッド / プリエールメイル
サルバシオン,Salvacion,5,en-patch,サルバシオンヘッド / サルバシオンメイル
ヴェント,Vento,5,en-patch,ヴェントピアス / ヴェントベスト
ミストラル,,5,unresolved,ミストラルピアス / ミストラルベスト
シロオビ,Shiroobi,5,romaji,シロオビヘルム / シロオビメイル
ゼーレ,Zere,5,romaji,ゼーレピアス / ゼーレベスト
Ｇ・ルナＲ,,5,unresolved,Ｇ・ルナＲキャップ / Ｇ・ルナＲレジスト
Ｓ・ソルＲ,,5,unresolved,Ｓ・ソルＲキャップ / Ｓ・ソルＲレジスト
リリオ,Ririo,5,romaji,リリオヘルム / リリオメイル
フレサ,Flesa,5,romaji,フレサヘルム / フレサメイル
クラベル,Klabel,5,romaji,クラベルヘルム / クラベルメイル
シルエラ,Shiruera,5,romaji,シルエラヘルム / シルエラメイル
カメリア,Kameria,5,romaji,カメリアヘルム / カメリアメイル
ハシント,Hashint,5,romaji,ハシントヘルム / ハシントメイル
セレソ,Sereso,5,romaji,セレソヘルム / セレソメイル
オリバ,Oriba,5,romaji,オリバヘルム / オリバメイル
ラウレル,Raurel,5,romaji,ラウレルキャップ / ラウレルレジスト
ココ,Koko,5,romaji,ココキャップ / ココレジスト
グラナダ,Glanada,5,romaji,グラナダキャップ / グラナダレジスト
フィディ,Fidi,5,romaji,フィディヘルム / フィディメイル
エピディ,Epidi,5,romaji,エピディヘルム / エピディメイル
ビステマ,Bistema,5,romaji,ビステマヘッド / ビステマメイル
ブルホ,Blho,5,romaji,ブルホＦヘッド・青 / ブルホＦベスト・青
マーギア,Magia,5,romaji,マーギアＦハット・青 / マーギアＦスーツ・青
チェスカ,Cheska,5,romaji,チェスカＧキャップ / チェスカＧレジスト
ライード,Raid,5,romaji,ライードＧキャップ / ライードＧレジスト
フローラ,,5,unresolved,フローラヘルム / フローラメイル
フラウ,Frau,5,en-patch,フラウヘッド / フラウベスト
キース,Keith,5,en-patch,キースヘルム / キースメイル
ギネル,Guinelle,5,en-patch,ギネルヘッド / ギネルメイル
チルカ,,5,unresolved,チルカヘッド / チルカベスト
エドワード,Edward,5,en-patch,エドワードピアス / エドワードメイル
タイゾウ,Taizo,5,en-patch,タイゾウヘッド / タイゾウメイル
ティアラ,Tiala,5,en-patch,ティアラキャップ / ティアラメイル
ユウェル,Uwel,5,en-patch,ユウェルピアス / ユウェルメイル
ナターシャ,Natasha,5,en-patch,ナターシャヘッド / ナターシャスーツ
レイラ,Leila,5,en-patch,レイラバンド / レイラスーツ
クロエ,Chloe,5,en-patch,クロエヘッド / クロエメイル
ﾖﾙﾊ九号S型Ｄ,YoRHa,5,en-patch,ﾖﾙﾊ九号S型Ｄヘッド / ﾖﾙﾊ九号S型Ｄベスト
十ノ軌跡,,5,unresolved,十ノ軌跡Ｃヘルム / 十ノ軌跡Ｃスーツ
十ノ至道,,5,unresolved,十ノ至道Ｃキャップ / 十ノ至道Ｃベスト
グラハム,,5,unresolved,グラハムヘルム / グラハムメイル
くろねこ服,,4,unresolved,くろねこ服マスク / くろねこ服スーツ
ブートアップ,,4,unresolved,ブートアップヘッド / ブートアップベスト
ユウェネス,Yuenesu,4,en-patch,ユウェネスヘッド / ユウェネスベスト
エアリアル,Aérien,4,francised,エアリアルヘッド / エアリアルベスト
ジスト,Giste,4,en-patch,ジストヘッド / ジストベスト
セレスト,Celeste,4,en-patch,セレストピアス / セレストアーム
セフティ,Sûreté,4,francised,セフティＳピアス / セフティＵピアス
ロジウェア,,4,unresolved,ロジウェアヘッド / ロジウェアベスト
テンペスト,Tempête,4,francised,テンペストヘッド / テンペストスーツ
ブート,Buto,4,en-patch,ブートＦヘッド / ブートＦベスト
シェルカ,Sherka,4,romaji,シェルカＧヘッド / シェルカＧメイル
ロアース,Roas,4,romaji,ロアースＧヘッド / ロアースＧメイル
リア,,4,unresolved,リアヘルム / リアスーツ
タルネコ,Tarneko,4,romaji,タルネコヘルム・金 / タルネコヘルム・銀
祖龍,Fatalis,4,en-patch,祖龍GXヘッド / 祖龍Ｄヘッド
ブレイブ,,4,unresolved,ブレイブZXヘッド / ブレイブZXアーム
ラッピー,Rappy,4,en-patch,ラッピーＤヘッド / ラッピーＤスーツ
白蘭,,4,unresolved,白蘭Ｄメイル / 白蘭Ｄアーム
紅霞,,4,unresolved,紅霞Ｄメイル / 紅霞Ｄアーム
